                  epoch,         train/box_loss,         train/cls_loss,           val/box_loss,           val/cls_loss
                      1,                0.67182,                 1.6674,                 2.4485,                 3.3494
                      2,                0.42225,                0.40806,                 2.3589,                 3.4518
                      3,                0.41462,                0.36323,                 2.2812,                 3.4426
                      4,                0.38078,                0.33066,                  2.232,                  3.482
                      5,                0.34311,                0.30263,                 2.2167,                 3.5051
                      6,                0.32833,                0.29396,                 2.2315,                 3.5119
                      7,                0.31878,                0.28767,                 2.2212,                 3.5164
                      8,                0.31034,                0.28184,                  2.236,                 3.5065
                      9,                0.30724,                0.28033,                 2.2649,                 3.4783
                     10,                0.30462,                0.27787,                 2.2719,                 3.4694
                     11,                0.29782,                0.27642,                 2.2681,                 3.4687
                     12,                0.29077,                0.27293,                 2.2651,                 3.4659
                     13,                0.29231,                0.27168,                 2.2676,                 3.4578
                     14,                0.28723,                0.27186,                 2.2722,                  3.443
                     15,                0.28922,                0.27046,                 2.2756,                 3.4258
                     16,                0.28602,                0.27161,                 2.2798,                 3.4044
                     17,                0.28439,                0.27068,                 2.2837,                 3.3849
                     18,                0.28216,                0.26974,                 2.2876,                 3.3653
                     19,                0.28036,                0.26887,                 2.2931,                 3.3387
                     20,                0.27811,                0.26657,                  2.298,                 3.3221
                     21,                0.27921,                0.26833,                 2.3035,                 3.3045
                     22,                0.27995,                0.26924,                 2.3084,                  3.291
                     23,                0.27744,                0.26742,                 2.3109,                 3.2847
                     24,                0.27475,                0.26652,                 2.3107,                 3.2832
                     25,                0.27365,                0.26769,                 2.3122,                 3.2789
                     26,                0.27441,                0.26583,                 2.3114,                 3.2843
                     27,                0.27154,                0.26655,                 2.3093,                 3.2869
                     28,                0.26969,                0.26585,                 2.3064,                 3.2924
                     29,                0.26841,                0.26544,                 2.3008,                 3.3065
                     30,                0.27069,                0.26439,                 2.2947,                 3.3198
                     31,                0.26916,                 0.2646,                 2.2894,                 3.3318
                     32,                0.26881,                0.26552,                 2.2849,                 3.3403
                     33,                0.26745,                 0.2643,                 2.2818,                  3.353
                     34,                0.26633,                0.26575,                 2.2765,                 3.3628
                     35,                 0.2646,                0.26277,                 2.2717,                 3.3745
                     36,                0.26346,                0.26436,                 2.2671,                 3.3865
                     37,                0.26485,                0.26303,                 2.2634,                 3.4024
                     38,                0.26524,                0.26375,                  2.257,                 3.4179
                     39,                 0.2625,                0.26324,                 2.2554,                 3.4282
                     40,                0.26131,                0.26137,                 2.2537,                 3.4394
                     41,                 0.2594,                0.26145,                 2.2507,                 3.4481
                     42,                0.26096,                0.26283,                 2.2468,                 3.4597
                     43,                0.26217,                0.26345,                 2.2427,                 3.4692
                     44,                0.25917,                0.25985,                 2.2412,                 3.4791
                     45,                0.26039,                0.26315,                 2.2383,                 3.4861
                     46,                0.26135,                 0.2616,                 2.2358,                 3.4998
                     47,                0.26063,                0.26192,                 2.2317,                 3.5087
                     48,                0.25636,                 0.2599,                 2.2296,                 3.5198
                     49,                0.25831,                0.25998,                 2.2289,                 3.5268
                     50,                0.25674,                 0.2603,                 2.2295,                  3.533
                     51,                0.25816,                 0.2613,                 2.2288,                 3.5312
                     52,                0.25708,                0.25983,                 2.2272,                 3.5337
                     53,                0.25543,                0.26032,                 2.2246,                 3.5393
                     54,                0.25592,                0.26055,                 2.2258,                 3.5403
                     55,                0.25612,                0.26035,                 2.2243,                 3.5474
                     56,                0.25352,                0.25825,                 2.2244,                 3.5488
                     57,                0.25478,                0.25827,                 2.2239,                 3.5578
                     58,                0.25157,                0.25732,                 2.2255,                 3.5607
                     59,                 0.2514,                0.25781,                 2.2252,                 3.5595
                     60,                0.25232,                0.25618,                 2.2239,                  3.564
                     61,                 0.2515,                0.25658,                 2.2226,                 3.5629
                     62,                0.25244,                0.25603,                 2.2216,                 3.5702
                     63,                0.25138,                0.25595,                 2.2241,                 3.5673
                     64,                0.25105,                0.25589,                 2.2254,                 3.5713
                     65,                0.24847,                0.25523,                 2.2285,                 3.5663
                     66,                0.24619,                 0.2537,                 2.2302,                 3.5614
                     67,                0.24648,                 0.2533,                 2.2297,                 3.5628
                     68,                0.24956,                0.25333,                 2.2278,                 3.5687
                     69,                0.24563,                0.25103,                 2.2311,                 3.5654
                     70,                0.24641,                0.24952,                 2.2347,                 3.5618
                     71,                0.24498,                0.25175,                 2.2346,                 3.5642
                     72,                 0.2443,                0.25052,                 2.2363,                 3.5546
                     73,                 0.2454,                0.24989,                 2.2382,                 3.5526
                     74,                0.24486,                0.24926,                  2.238,                 3.5525
                     75,                0.24572,                0.24963,                 2.2394,                 3.5544
                     76,                0.24592,                0.24859,                 2.2381,                 3.5642
                     77,                0.24138,                0.24746,                 2.2366,                 3.5687
                     78,                0.24182,                0.24877,                 2.2358,                 3.5719
                     79,                0.24334,                0.24722,                 2.2358,                 3.5733
                     80,                0.24384,                0.24875,                 2.2373,                 3.5743
                     81,                0.24253,                0.24691,                 2.2335,                 3.5812
                     82,                 0.2407,                0.24629,                 2.2325,                 3.5831
                     83,                0.24193,                0.24681,                 2.2314,                 3.5884
                     84,                  0.242,                0.24732,                 2.2302,                 3.5882
                     85,                0.23875,                0.24603,                 2.2344,                 3.5856
                     86,                0.23961,                0.24579,                 2.2342,                 3.5915
                     87,                0.23976,                0.24564,                 2.2371,                 3.5922
                     88,                0.23953,                0.24461,                 2.2381,                 3.5922
